"Postcode not informed","Postcode not informed"
"Amount reported is invalid","Amount reported is invalid"
"There is no shipping method available at this time.","There is no shipping method available at this time."
"Estimate Shipping Rate","Estimate Shipping Rate"
Postcode,Postcode
"Type your Postcode (just numbers)","Type your Postcode (just numbers)"
"Estimate shipping","Estimate shipping"
"I do not know the postcode","I do not know the postcode"
Landofcoder,Landofcoder
"Estimate Shipping Rate for Product","Estimate Shipping Rate for Product"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
